ID,Marke,Name,Hauptfamilie,Unterfamilie,Duftpyramide,Duftrichtung,Charakter,Assoziation,Anlass,Saison,Haltbarkeit,Sillage,Besonderheit,Marke,Name,Meine Bewertung,Mein Kommentar,Verkaeufer,Kommentar,
94,Amouage,Journey Man,Orientalisch,Leder / Tabak / Würzig,"Kopf: Sichuanpfeffer, Bitterorange, Kardamom, Bergamotte, Neroli
Herz: Wacholderbeere, Weihrauchharz, Tabak, Geraniol
Basis: Cypriol, Ambrox, Leder, Tonkabohne","rauchig, würzig, holzig, ledrig","geheimnisvoll, orientalisch, intensiv","nächtlicher Gewürzbasar, Tabakdämpfe und rauchiges Leder","Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,"komplexer Mix aus chinesischem Pfeffer, Weihrauch und Tabak",Amouage,Journey Man,,,"50ml, tryasample",nicht im Alsterhaus gefunden,
95,Hermès,Eau de Basilic Pourpre,Zitrisch,Aromatisch / Grün,"Noten: Basilikum, Bergamotte, Gewürze, Geranium, Patchouli","grün, krautig, würzig, zitrisch","herb, frisch, unkonventionell",in der Hand zerdrückte Basilikumblätter mit Bergamotte und Geranie,"Alltag, warme Tage","Frühling, Sommer",5–6 h,moderat,konzentriert sich auf purpurnen Basilikum mit würziger Patchouli‑Basis,Hermès,Eau de Basilic Pourpre,0.75,Ganz gut,Douglas EEZ,,
96,Acqua di Parma,Colonia Club (EdC),Zitrisch,Aromatisch / Grün,"Kopf: Minze, Bergamotte, Sizilianische Zitrone, Sizilianische Mandarine, Neroli, Petitgrain
Herz: Galbanum, Geranie, Lavendel
Basis: Ambergris, Haitianischer Vetiver, Weißer Moschus","frisch, zitrisch, minzig, grün","klassisch, sportlich, elegant",italienischer Gentlemen’s Club mit minzigem Aftershave und Zitrusfrische,"Alltag, Büro, Freizeit","Frühling, Sommer",6–7 h,moderat,frische Minze trifft auf klassische Colonia‑Struktur,Acqua di Parma,Colonia Club (EdC),0.30,"Zitrisch, rosig, seifig",Alsterhaus,,
97,Memo Paris,Italian Leather,Ledrig,Grün,"Kopf: Tomatenblatt, Wacholderbeere, Rosa Pfeffer
Herz: Iris‑Concrete, Petitgrain, Muskatellersalbei
Basis: Leder, Bourbon‑Vanille, Cistus‑Absolue, Myrrhe","grün, ledrig, cremig, würzig","extravagant, mediterran, weich","Cabriofahrt durch Italiens Landschaft – Tomatenpflanzen, Leder und Vanillegelato","Abend, besondere Anlässe","Herbst, Winter, Frühling",8–10 h,stark,einzigartiger Tomatenblatt‑Akkord verleiht grüne Frische,Memo Paris,Italian Leather,0.40,Zu süß ,Alsterhaus,,
98,Bvlgari,Man Wood Neroli,Holzig,Floral / Zitrisch,"Kopf: Neroli, Bergamotte
Herz: Zedernholz, Orangeblüte, Amberholz
Basis: Leder, Moschus, Vetiver","zitrisch, holzig, fruchtig","sonnig, modern, entspannt","mediterraner Orangenhain, abgerundet durch warmes Holz","Alltag, Büro","Frühling, Sommer",5–7 h,moderat,Neroli steht im Fokus und wird von samtigen Holznoten begleitet,Bvlgari,Man Wood Neroli,,,Bvlgari,,
99,Orto Parisi,Megamare,Aquatisch,Mineralisch / Salzig,"Kopf: Bergamotte, Zitrone
Herz: Seetang, Calone, Hedione
Basis: Moschus, Ambroxan, Zedernholz","maritim, salzig, synthetisch, holzig","intensiv, kraftvoll, oceanisch","tobende Meereswellen und salzige Brise, tiefblaues Wasser","Statement, Sommernächte","Frühling, Sommer",10 h+,sehr stark,extrem salziger Meeresduft mit enormer Projektion – das „Kraken“ der Meeresdüfte,Orto Parisi,Megamare,0.75,"Spannend, leicht bissig, Lakritz?","Alsterhaus, Parfums Lubner",,
100,Phaedon,Tea & Bergamot,Zitrisch,Aromatisch / Tee,"Kopf: Bergamotte, Zitrone, Minze
Herz: Grüner Tee, Schwarztee, Jasmin
Basis: Moschus, Holz","zitrisch, teeartig, frisch","belebend, klar, unbeschwert","Nachmittagstee auf einer Terrasse, frische Zitrusbrise","Alltag, Büro","Frühling, Sommer",4–6 h,moderat,realistischer Tee-Duft mit spritziger Bergamotte,Phaedon,Tea & Bergamot,,,?,,
101,Hiram Green,Vetiver,Holzig,Vetiver / Würzig,"Kopf: Grapefruit, Orange, Pfeffer
Herz: Haitianischer Vetiver, Rumakkorde
Basis: Zedernholz, Amber","erdig, rauchig, bittersüß","naturverbunden, tief, kraftvoll","tropischer Regenwald nach einem Sommerregen, Rauch steigt aus dem Boden","Abend, Abenteuer","Herbst, Winter",6–8 h,stark,handgefertigter Naturduft; konzentriertes Vetiver mit Rum-Nuance,Hiram Green,Vetiver,,,?,,
102,Maison Margiela,(untitled) L’eau,Zitrisch,Aromatisch / Grün,"Kopf: Galbanum, Zitrone, Buchu, Mandarine, Krause Minze
Herz: Galbanum, Mastixharz, Orangenblüten-Absolue
Basis: Serenolid (Moschusmolekül), Patchouli, Weihrauch","grün, bitter-zitrisch, harzig, moschusartig","minimalistisch, klar, leicht herb",Spaziergang durch einen Zitrushain mit Kräutern und harzigen Zweigen,"Alltag, entspannt","Frühling, Sommer",6–7 h,moderat,kombiniert doppelte Galbanum-Dosis mit seltenem Mastix und Serenolid,Maison Margiela,(untitled) L’eau,0.75,"Frisch, zitrisch, tomatenpflanze, wird leider seifig",Alsterhaus,,
103,Parfums de Nicolai,Eau de Yuzu,Zitrisch,Aromatisch / Grün,"Kopf: Yuzu, Grapefruit, Zitronen-Petitgrain, Gras
Herz: Schwarzer Pfeffer, Wacholderbeere
Basis: Vetiver, Gaiac-Holz, Moschus, Patchouli","spritzig, pfeffrig, grün, holzig","vitalisierend, natürlich, prägnant",japanischer Obstgarten mit Yuzu‑Früchten und Pfefferzweigen,"Alltag, Sport, Freizeit","Frühling, Sommer",7–8 h,moderat,fokussiert den seltenen Yuzu mit pfeffriger Würze,Parfums de Nicolai,Eau de Yuzu,0.75,"Leicht, zitrisch, Zitronenschale, leicht bitter ",Alsterhaus,,
104,Jo Malone,Myrrh & Tonka,Orientalisch,Aromatisch / Harzig / Vanille,"Kopf: Lavendel
Herz: Namibische Myrrhe
Basis: Tonkabohne, Mandel, Vanille","würzig, süß, balsamisch, warm","sinnlich, beruhigend, harzig","Wüstendämmerung mit Harz und cremiger Tonka, weiches Cashmere","Abend, Herbstabende","Herbst, Winter",7–8 h,moderat bis stark,vereint trockene Lavendelspitze mit warmer Myrrhe und cremiger Tonka,Jo Malone,Myrrh & Tonka,0.65,"Süß, leicht schwer aber auch frisch, spannend aber nicht meins",Alsterhaus,,
105,Jo Malone,Hinoki & Cedarwood,Holzig,Aromatisch,"Kopf: Aromatische Noten
Herz: Hinoki‑Holz
Basis: Zedernholz","harzig, holzig, frisch, minimalistisch","meditativ, clean, warm",Spaziergang durch japanischen Hinoki‑Wald mit frischen Hölzern,"Alltag, Ruheoase","Herbst, Winter",6–8 h,moderat,verbindet japanisches Hinoki‑Holz mit westlichem Zedernholz in puristischem Stil,Jo Malone,Hinoki & Cedarwood,0.70,"Leicht holzig, kirschig, spannend",Alsterhaus,,
106,Parfums de Nicolai,L’Eau Mixte,Chypre,Floral / Zitrisch,"Kopf: Minze, Bergamotte, Zitrone, Orange, Thymian
Herz: Grapefruit, Schwarze Johannisbeere, Rosa Pfeffer, Rose, Wacholderbeere, Muskatnuss
Basis: Moschus, Eichenmoos, Vetiver","zitrisch, minzig, pfeffrig, holzig","frisch, spritzig, vielseitig","ein Mojito aus Minze, Zitrus und Beeren auf einer Sommerterrasse","Alltag, Büro, Freizeit","Frühling, Sommer",5–6 h,moderat,"komplexer Mix aus Kräutern, Zitrus und Beeren mit Eichenmoos",Parfums de Nicolai,L’Eau Mixte,0.70,"Frisch, zitrisch, minzig, minzig ist nicht so meins",Alsterhaus,,
107,Maison Margiela,Sailing Day,Aquatisch,Aldehydisch / Aromatisch,"Kopf: Meeresnoten, Aldehyde, Wacholder
Herz: Koriander, Iris-Absolue, Rose
Basis: Orcanox, Ambergris, Rotalge","maritim, salzig, frisch, holzig","luftig, abenteuerlustig, sauber",Segeltörn unter klarem Himmel – salzige Brise und Meerwasser,"Freizeit, Urlaub","Frühling, Sommer",5–7 h,moderat,fängt die Stimmung des Segelns ein; dezente Algen- und Ambergris-Note,Maison Margiela,Sailing Day,0.35,"Aquatisch, seifig, langweilig",Alsterhaus,,
108,Maison Margiela,Flying,Zitrisch,Aldehydisch / Aromatisch,"Kopf: Bittere Orangenblüte, Bergamotte, Orangen-Absolue
Herz: Mandel, Ylang-Ylang
Basis: Luftakkord, Moschus, Moos","zitrisch, cremig, süß, luftig","heiter, beschwingt, gemütlich","Gefühl des Schwebens: Zitrus, Mandeln und sanfte Blüten in Wolken","Alltag, Wochenende","Frühling, Sommer",5–6 h,moderat,"enthält einen „Luftakkord“, der die Leichtigkeit des Fliegens symbolisiert",Maison Margiela,Flying,0.20,seifig,Alsterhaus,,
109,Chanel,Allure Homme Édition Blanche,Orientalisch,Vanille / Zitrisch,"Kopf: Schwarzer Pfeffer, Rosa Pfeffer
Herz: Zitrone, Bergamotte, Sandelholz aus Neukaledonien, Leder
Basis: Tonkabohne, Weißer Moschus, Amber, Bourbon-Vanille, Zedernholz, Ingwer, Haitianischer Vetiver","zitrisch, cremig, würzig, holzig","sophisticated, warm, strahlend",ein Mann im weißen Leinenanzug an der Riviera – Zitrone und Vanille,"Business, Abend, elegante Anlässe",,7–8 h,moderat,,Chanel,Allure Homme Édition Blanche,0.50,"Frisch, spritzig, langweilig",Douglas Jungfernstieg,,
110,Chanel,Bleu de Chanel (EdP),Holzig,Aromatisch / Zitrisch,"Kopf: Grapefruit, Zitrone, Minze, Rosa Pfeffer
Herz: Ingwer, Muskat, Jasmin
Basis: Weihrauch, Vetiver, Sandelholz, Patchouli, Zeder, Amberholz, Tonkabohne","zitrisch, holzig, rauchig, aromatisch","modern, selbstbewusst, urban",nächtlicher Spaziergang durch die Stadt – Grapefruit und Weihrauch in der Luft,"Alltag, Büro, Date",Ganzjährig,8–9 h,stark,,Chanel,Bleu de Chanel (EdP),0.50,"Frisch, würzig, langweilig",Douglas Jungfernstieg,,
111,La Cordée,À la cime du cyprès,Holzig,Aromatisch / Grün,"Noten: Schwarzer Tee, Bergamotte, Zypresse, Cashmeran","frisch, grün, holzig, kräutrig","klar, naturverbunden, abenteuerlich",Gipfel eines Zypressenwaldes mit heißem Schwarztee und Bergamotte,"Alltag, Outdoor","Frühling, Herbst",5–6 h,moderat,"exklusive „Moncler“-Duft, verwendet schwarzen Tee und Zypressenholz",La Cordée,À la cime du cyprès,0.35,holzig süß frisch aber nicht so meins,Douglas Jungfernstieg,,
112,Acqua di Parma,Colonia Essenza,Zitrisch,Aromatisch / Kräutrig,"Kopf: Neroli, Petitgrain, Bergamotte, Zitrone, Grapefruit, Mandarine, Orange
Herz: Rosmarin, Nelke, Jasmin, Maiglöckchen, Rose
Basis: Weißer Moschus, Amber, Patchouli, Vetiver","zitrisch, aromatisch, holzig, würzig","elegant, klassisch, energisch",italienischer Dandy im Sommer: Orangenblüten und Kräuter in der Luft,"Büro, Alltag, formelle Anlässe","Frühling, Sommer, frühes Herbst",6–8 h,moderat,intensivere Version von Colonia mit tieferem Patchouli‑Vetiver‑Herz,Acqua di Parma,Colonia Essenza,0.50,Schön frisch aber riecht wie rosenseife. Nicht gut,Douglas Jungfernstieg,,
113,Dior,Sauvage (EDT),Fougère,Aromatisch / Würzig,"Noten: Kalabrische Bergamotte, Ambroxan, Sichuanpfeffer, Rosa Pfeffer, Provençalischer Lavendel, Elemi, Geranie, Patchouli, Vetiver","frisch, würzig, amber, holzig","roh, maskulin, dynamisch",offene Wüste unter blauem Himmel; Pfeffer und Bergamotte tanzen im Wind,"Abend, Freizeit, Date",Ganzjährig,8–10 h,stark,moderne Ikone; ambroxan-lastiger Duft mit großer Projektionskraft,Dior,Sauvage (EDT),0.35,"Süß, fruchtig, elegant, nicht so meins",Douglas Jungfernstieg,,
114,Creed,Erolfa,Zitrisch,Aquatisch / Aromatisch,"Kopf: Bergamotte, Zitrone, Melone, Orange, Basilikum, Kreuzkümmel, Rosmarin, Veilchen
Herz: Koriander, Ingwer, Jasmin, Pfeffer, Cyclamen
Basis: Moschus, Zedernholz, Eichenmoos, Sandelholz, Amber","frisch, maritim, würzig, holzig","klassisch, maritim, elegant","Segeln im Mittelmeer – Zitrusfrüchte, Kräuter und salzige Brise","Alltag, Segeltörn","Frühling, Sommer",6–7 h,moderat,"benannt nach Familienmitgliedern des Creed‑Gründers (Erwin, Olivia, Fabrice); frühe komplexe Aquatik",Creed,Erolfa,0.50,"Süß, seidig, frisch, langweilig",Douglas Jungfernstieg,,
115,Dior,Homme Cologne,Zitrisch,Aromatisch / Moschus,"Kopf: Kalabrische Bergamotte
Herz: Marokkanische Grapefruitblüte
Basis: Weißer Moschus","sehr zitrisch, sauber, leicht blumig","minimalistisch, strahlend, puristisch",frisch gebügeltes weißes Hemd und ein Glas Eiswasser mit Zitronenscheibe,"Alltag, Büro, Sommerausflüge","Frühling, Sommer",4–6 h,moderat,"extrem reduzierte, reine Komposition aus Bergamotte und Grapefruitblüte",Dior,Homme Cologne,0.75,Zitronig aber nicht optimal / Fruchtig lecker gut!,Douglas Jungfernstieg,,
116,Diptyque,Tam Dao (EdT),Holzig,Sandelholz,"Noten: Mysore‑Sandelholz, Zedernholz, Myrte, Zypresse","cremig holzig, warm, grün","meditativ, elegant, ruhig","buddhistischer Tempel im Zedernwald, poliertes Holz und Sandelrauch","meditative Momente, Abend, Alltag","Herbst, Winter",6–7 h,moderat,klassischer Sandelholzduft mit puristischer Holzkomposition,Diptyque,Tam Dao (EdT),0.50,"Holzig süß, Kakao",Alsterhaus,,
117,Maison Francis Kurkdjian,Aqua Universalis,Zitrisch,Floral / Moschus,"Noten: Maiglöckchen, Sizilianische Zitrone, Kalabrische Bergamotte, Moschus, Scheinorange, leichte Hölzer","frisch, citrus‑blumig, moschusweich","sauber, luftig, uplifting",strahlend weiße Wäsche im Sonnenschein und Zitronenblüten,"Büro, Alltag, Sommer","Frühling, Sommer",ca. 6 h,moderat,fängt das Gefühl frisch gewaschener Wäsche mit Zitrus und weißen Blüten ein,Maison Francis Kurkdjian,Aqua Universalis,0.30,"Seifig, sehr rosig",Alsterhaus,,
118,Diptyque,Eau des Sens,Zitrisch,Aromatisch / Floral,"Noten: Orangenblüte, Angelika, Bitterorange, Wacholderbeere, Patchouli","bitter‑süß, grün, spicy, floral","lebendig, natürlich, vielschichtig","gesamter Bitterorangenbaum in der Abendsonne – Blüten, Frucht, Blätter und Holz","Alltag, kreative Arbeit, Sommer","Frühling, Sommer",6–8 h,moderat,bildet die komplette Bitterorange ab und kombiniert zitrische Frische mit grüner Tiefe,Diptyque,Eau des Sens,0.65,"Holzig, leicht zitrisch und etwas anderes","Alsterhaus, Parfums Lubner",,
119,Acqua di Parma,Fico di Amalfi,Zitrisch,Fruchtig / Grün,"Kopf: Grapefruit, Italienische Bergamotte, Italienische Zitrone
Herz: Feigennektar, Jasmin, Rosa Pfeffer
Basis: Zedernholz, Feigenholz, Benzoe","fruchtig‑grün, süß, holzig","heiter, mediterran, sommerlich",Spaziergang entlang der Amalfiküste – reife Feigen und Zitrusfrüchte vor blauer See,"Urlaub, Freizeit, Sommerfeste","Frühling, Sommer",4–6 h,leicht-moderat,verbindet saftige Feige mit spritzigen Zitrusnoten; Teil der Blu-Mediterraneo-Reihe,Acqua di Parma,Fico di Amalfi,0.65,"Grapefruit, seifig","Alsterhaus, Douglas Jungfernstieg",,
120,Maison Francis Kurkdjian,Aqua Vitae,Zitrisch,Holzig / Würzig,"Noten: Kalabrische Zitrone, Hedione, Sizilianische Mandarine, Brasilianische Tonkabohne, Gaiac‑Holz, Vanille-Absolue, Venezolanische Tonkabohne","zitrisch, holzig, leicht vanillig","strahlend, sinnlich, hautnah",warme Haut nach der Sonne – frische Zitrusfrische verschmilzt mit Tonka und Vanille,"Dates, warme Nachmittage","Frühling, Sommer",5–6 h,moderat,"hoher Hedione-Anteil sorgt für einen leuchtenden, strahlenden Effekt",Maison Francis Kurkdjian,Aqua Vitae,0.40,"Seifig, rosig",Alsterhaus,,
121,Le Labo,Bergamote 22,Zitrisch,Aromatisch / Holzig,"Noten: Bergamotte, Grapefruit, Petitgrain, Kardamom, Orangenblüte, Zedernholz, Vetiver, Moschus, Amber","spritzig, würzig, holzig, moschus","frisch, sophisticated, modern","mediterraner Hain bei Sonnenaufgang – Bergamotteblätter, Rauch von Vetiver","Büro, Alltag, gehobene Freizeit","Frühling, Sommer",7–8 h,moderat,"ikonischer Nischenduft, der helle Bergamotte mit rauchigem Vetiver vereint",Le Labo,Bergamote 22,0.50,Schön frisch aber seifig,Alsterhaus,,
122,4711,Echt Kölnisch Wasser,Zitrisch,Aromatisch / Kräutrig,"Kopf: Bergamotte, Zitrone, Orange
Herz: Lavendel, Rosmarin
Basis: Neroli, Petitgrain","spritzig, zitrisch, herb, aromatisch","erfrischend, klassisch, sauber",der Duft eines kühlen Sommermorgens – frisch gebadete Haut und Zitrusfrüchte,"Alltag, Büro, Sport","Frühling, Sommer",1–2 h,leicht,ikonisches Original-Kölnisch-Wasser aus dem 18. Jahrhundert,4711,Echt Kölnisch Wasser,,,Galeria,,
123,Yves Saint Laurent,La Nuit de l’Homme (EDT),Orientalisch,Holzig / Würzig,"Kopf: Kardamom, Bergamotte
Herz: Lavendel, Schwarzer Pfeffer, Zedernholz
Basis: Tonkabohne, Vetiver","würzig, süß, holzig","verführerisch, warm, elegant","ein nächtliches Rendezvous, Kardamom-Lavendel-Aura im Scheinwerferlicht","Date, Abend, Club","Herbst, Winter",6–8 h,moderat,ikonischer Kardamom-Lavendel-Duft mit holzigem Abgang,Yves Saint Laurent,La Nuit de l’Homme (EDT),0.60,"Leicht süß, würzig, weich",Douglas EEZ,,
124,Hermès,Un Jardin sur le Nil,Floral,Fruchtig / Grün,"Noten: Grüner Mango, Grapefruit, Tomatenblatt, Lotus, Hyazinthe, Schilfrohr, Weihrauch, Sykomorenholz","fruchtig‑grün, aquatisch, holzig","exotisch, erfrischend, friedvoll","Bootsfahrt auf dem Nil, Mango- und Lotusgärten, sanfter Wind","Freizeit, Reise, Tagesausflüge","Frühling, Sommer",6–8 h,moderat,Jean‑Claude Ellenas garteninspirierte Komposition mit einzigartiger Mango-Lotus-Note,Hermès,Un Jardin sur le Nil,0.40,"Zu blumig, rosig auch wenn floral als Idee nicht schlecht ist",Douglas EEZ,,
125,Hermès,Terre d’Hermès,Holzig,Würzig / Zitrisch,"Kopf: Orange, Grapefruit
Herz: Pfeffer, Geranie
Basis: Vetiver, Zeder, Benzoe, Patchouli","erdig, mineralisch, würzig, holzig","maskulin, geerdet, sophisticated","oranges, sonnenbeschienenes Gelände – feuchte Erde, Zitrus und Feuerstein","Büro, Abend, formelle Anlässe","Herbst, Frühling, Winter",7–9 h,stark,"ikonischer Herrenduft, der Zitrusnoten mit erdig-mineralischem Vetiver verbindet",Hermès,Terre d’Hermès,0.40,"Ähnlich aramis, aber rosig",Douglas EEZ,,
126,Prada,Luna Rossa Carbon,Fougère,Aromatisch / Mineralisch,"Kopf: Bergamotte, Schwarzer Pfeffer
Herz: Lavendel, metallische Noten, wässrige Noten, Kohle, Bodentinktur
Basis: Ambroxan, Patchouli","frisch, würzig, metallisch, ambroxanlastig","modern, industrial, clean","hightech Segelregatta – Carbonfaser, Lavendel und kühle Metallakzente","Alltag, Büro, Abend",Ganzjährig (bes. Frühling/Herbst),7–9 h,stark,verbindet metallisch-mineralische Noten mit Lavendel; glatte Sauvage-Alternative,Prada,Luna Rossa Carbon,0.50,"Naja, süss fruchtig dezent",Douglas EEZ,,
127,Davidoff,Cool Water Intense,Orientalisch,Fruchtig,"Kopf: Grüne Mandarine
Herz: Kokoswasser
Basis: Amber","fruchtig, süß, tropisch, aquatisch","lebhaft, sonnig, modern",tropischer Strand mit Kokosnussdrink und sanfter Meeresbrise,"Freizeit, Urlaub, sommerliche Abende","Frühling, Sommer",6–8 h,moderat bis stark,neue Interpretation des Klassikers mit saftigem Kokoswasser,Davidoff,Cool Water Intense,0.50,Frisch aber langweilig ,Douglas EEZ,,
128,Tom Ford,Ombre Leather (EDP),Ledrig,Floral / Würzig,"Kopf: Kardamom, Jasmin Sambac, Safran
Herz: Schwarzes Leder, Patchouli, Vetiver
Basis: Amber, Weißes Moos","ledrig, warm, würzig, süß","kraftvoll, sexy, modern","Ledersitze im Sportwagen, veredelt mit süß-würzigen Gewürzen","Abend, Ausgehen","Herbst, Winter",8–10 h,stark,"zugängliche Leder-Ikone mit Jasmin und Safran, starke Ausstrahlung",Tom Ford,Ombre Leather (EDP),0.65,"Leder, Plastik, gut, perfekt für kältere Jahreszeit, aber zu ledrig",Douglas EEZ,,
129,Chanel,Pour Monsieur (EDP),Chypre,Würzig / Zitrisch,"Kopf: Mandarine, Lavendel, Petitgrain
Herz: Kardamom, Muskatnuss
Basis: Eichenmoos, Opoponax, Vanille, Vetiver","zitrisch-würzig, holzig, moosig","klassisch, kultiviert, maskulin",eleganter Anzugträger mit frisch gepressten Zitrusnoten und warmem Moos,"Büro, formelle Anlässe",Ganzjährig,7–8 h,moderat,Neuauflage des 1955er‑Klassikers als EDP mit warmem Chypre‑Charakter,Chanel,Pour Monsieur (EDP),0.70,"Erst würzig, dann fruchtig süß, ganz gut",Douglas EEZ,,
130,Mugler,A*Men,Gourmand,Holzig,"Kopf: Lavendel, Minze, Koriander, Bergamotte
Herz: Karamell, Patchouli, Honig, Milch, Zedernholz
Basis: Tonkabohne, Kaffee, Vanille, Moschus, Amber","süß, gourmand, würzig, holzig","mutig, futuristisch, indulgent",futuristische Schokoladenfabrik im Weltall mit Kaffee und Karamell,"Abend, Club, Winterabende","Herbst, Winter",10–12 h,sehr stark,"erster Mainstream-Gourmand mit Kaffee, Karamell und Tonkabohne",Mugler,A*Men,0.70,Ähnlich Chanel – Pour Monsieur,Douglas EEZ,,
131,Dior,Fahrenheit (EdT),Fougère,Aromatisch / Leder,"Kopf: Zeder, Kamille, Lavendel, Mandarine, Bergamotte, Weißdorn, Zitrone, Muskat
Herz: Veilchenblatt, Muskatnuss, Sandelholz, Nelke, Jasmin, Maiglöckchen, Zeder, Geißblatt
Basis: Leder, Moschus, Patchouli, Vetiver, Amber, Tonkabohne","lederig, blumig, würzig, erdig","avantgardistisch, warm, charakterstark","Lederjacke an einem kühlen Abend, Benzin und Veilchenblätter","Abend, Büro, besondere Momente","Herbst, Winter",,,,Dior,Fahrenheit (EdT),0.75,"Erst fruchtig, Leder im nachgang, ganz gut",Douglas EEZ,,todo
132,Creed,Love in White for Summer,Floral,Fruchtig / Zitrisch,"Kopf: Kalabrische Bergamotte, Bulgarische Rose, Magnolie
Herz: Toskanische Iris, Reis, Virginische Zeder
Basis: Ambergris, Sandelholz, Apfel","frisch, cremig, floral, elegant","romantisch, sommerlich, leicht",Spaziergang an der Mittelmeerküste in weißem Leinenkleid und Blumenduft,"Sommerhochzeit, elegante Tage","Frühling, Sommer",5–7 h,moderat,sommerliche Variante des Originals mit Reiskorn und Rose,Creed,Love in White for Summer,0.75,"frisch, schoen, echt gut, zu suess aber",Douglas Jungfernstieg,,
133,Tabac,Man,Fougère,Aromatisch / Würzig,"Kopf: Orange, Bergamotte, Minze, Lavendel
Herz: Koriander, Vetiver, Kardamom, Geranium
Basis: Sandelholz, Muskatnuss, Vanille, Patchouli","würzig, aromatisch, holzig, süß","maskulin, klassisch, warm",traditionelle Barbiersendung mit frischen Kräutern und würzigem Aftershave,"Alltag, Büro","Herbst, Winter",6–8 h,moderat,typischer Barbershop-Duft mit warmer Vanille-Basis,Tabac,Man,,,Galeria,,
134,Xerjoff,XJ 1861 Naxos,Orientalisch,Tabak / Würzig,"Kopf: Zitrone, Bergamotte, Lavendel
Herz: Jasmin Sambac, Honig, Zimt, Cashmeran
Basis: Tabakblatt, Tonkabohne, Vanille","süß, würzig, honigreich, gourmand","warm, mediterran, opulent",sizilianische Patisserie mit Honiggebäck und Tabakduft,"Abend, besondere Anlässe","Herbst, Winter",8–10 h,stark,italienische Hommage mit Honig-Zimt-Tabak und cremiger Vanille,Xerjoff,XJ 1861 Naxos,0.30,Zu süß und Lakritz ,Parfums Lubner,,
135,Heeley,Cardinal,Orientalisch,Harzig / Weihrauch,"Kopf: Leinen, Rosa Pfeffer
Herz: Weihrauch, Labdanum
Basis: Vetiver, Ambergris, Patchouli","rauchig, würzig, harzig, holzig","andächtig, mystisch, sakral","Weihrauchschwaden in einer gotischen Kathedrale, frische Altartücher","Meditation, Abend","Herbst, Winter",7–8 h,moderat,"moderne Kirchen-Weihrauch-Komposition, die frisches Leinen mit Harz verbindet",Heeley,Cardinal,0.70,"Weihrauch, Holz, gar nicht so schlimm aber schon Kopfschmerzen ",Parfums Lubner,,
136,Acqua di Parma,Yuzu,Zitrisch,Aromatisch / Holzig,"Kopf: Yuzu, Bergamotte, Sichuanpfeffer
Herz: Lotus, Mimose, Veilchenblatt, Jasmin
Basis: Moschus, Lakritz, Sandelholz","spritzig, floral, würzig, süß","exotisch, lebendig, orientalisch","japanischer Garten mit leuchtenden Yuzu-Früchten, Blüten und würziger Note","Alltag, besondere Sommertage","Frühling, Sommer",5–7 h,moderat,seltene Verwendung der Yuzu-Frucht; Lakritz im Abgang,Acqua di Parma,Yuzu,0.70,"Zitrisch yuzu, leicht floral, richtig gut, am Ende aber langweilig zitrisch",Alsterhaus,,
137,Hermès,Un Jardin en Méditerranée,Floral,Aquatisch / Grün,"Kopf: Bergamotte, Zitrone, Orange
Herz: Orangenblüte, Weißer Oleander
Basis: Feigenblatt, Zypresse, Wacholder, Rote Zeder, Moschus, Pistazie","mediterran, grün, zitrisch, holzig","heiter, entspannt, sonnig",Nachmittag im mediterranen Garten mit Feigenbäumen und Zitrushainen,"Urlaub, Alltag, Gartenfest","Frühling, Sommer",6–7 h,moderat,verwendet seltene Pistaziennote; inspiriert von Ellena-Reise nach Tunis,Hermès,Un Jardin en Méditerranée,0.55,"Dezent aber irgendwie seifig, apfelig ","Alsterhaus, Douglas EEZ, Douglas Jungfernstieg",,
138,L’Artisan Parfumeur,Premier Figuier,Floral,Fruchtig / Grün,"Kopf: Feigenblatt, Feige
Herz: Mandelmilch, Sandelholz
Basis: Kokosnuss, Feigenholz","grün, fruchtig, milchig, holzig","mediterran, sonnig, entspannt",Mittagspause unter einem Feigenbaum mit cremigem Kokosnuss-Duft,"Alltag, Urlaub","Frühling, Sommer",5–7 h,moderat,"einer der ersten Feigendüfte, vereint frische Blätter und milchige Noten",L’Artisan Parfumeur,Premier Figuier,,,Parfums Lubner,,
139,Hermès,Un Jardin sur le Toit,Floral,Fruchtig / Grün,"Kopf: Basilikum, Birne, Apfel
Herz: Gras, Magnolie, Rose
Basis: Moos, Kompost‑Akkord","frisch, grün, fruchtig, blumig","lebendig, urban, sonnig","Dachgarten in Paris mit Obstbäumen, Gras und taufrischer Erde","Alltag, Frühlingstage, Spaziergänge","Frühling, Sommer",5–7 h,moderat,"vom Hermès‑Dachgarten inspiriert; vereint Obst, Gras und Erde",Hermès,Un Jardin sur le Toit,0.30,"Wie bodyshop grüner Apfel, seifig, rosig","Alsterhaus, Douglas EEZ, Douglas Jungfernstieg",,
